Galaxy,Env.,D(Mpc),Ref.,R_{eV}(arcsec),R_{eV}_ERR,\mu_{eV}(mag arcsec^{-2}),\mu_{eV}_ERR,M_V(mag),M_V_ERR,A_V(mag),R_e[3.6](arcsec),R_e[3.6]_ERR,\mu_e[3.6](mag arcsec^{-2}),\mu_e[3.6]_ERR,M_[3.6](mag),M_[3.6]_ERR,A_[3.6](mag),(V-[3.6])_e(mag),(V-[3.6])_ERR,n_V,n_[3.6]
474,F,29.51,1,28.08,1.65,20.72,0.09,-20.87,0.12,0.11,20.07,0.37,20.72,0.11,-23.94,0.11,0.01,3.26,0.05,4,4
524,F,23.99,3,35.41,1.02,19.9,0.07,-21.75,0.2,0.27,28.86,0.26,19.9,0.08,-25.04,0.2,0.02,3.43,0.03,2.8,2.8
821,F,24.1,3,31.33,1.49,20.09,0.08,-21.3,0.17,0.36,22.88,0.46,20.09,0.1,-24.31,0.17,0.02,3.19,0.04,4,4
1023,F,11.43,3,48.75,1.46,19.65,0.05,-21.08,0.16,0.2,26.95,0.19,19.65,0.08,-24.08,0.16,0.01,3.35,0.02,4,3
2549,F,12.65,3,13.92,0.43,18.84,0.16,-19.38,0.28,0.21,11.49,0.08,18.84,0.19,-22.56,0.28,0.01,3.3,0.02,2.9,2.9
2685,F,16.6,0,23.68,1.16,20.02,0.1,-19.95,0.49,0.2,16.27,0.41,20.02,0.14,-22.94,0.49,0.01,3.21,0.04,4,3.5
2695,F,32.36,3,18.74,1.26,20.05,0.12,-20.86,0.4,0.06,11.72,0.13,20.05,0.19,-23.96,0.4,0,3.37,0.04,4,3.1
2699,F,26.92,3,12.14,0.95,19.59,0.18,-19.97,0.27,0.07,7.83,0.08,19.59,0.28,-22.99,0.27,0,3.29,0.05,4,2.9
2768,F,22.39,3,67.97,3.11,20.94,0.05,-21.97,0.24,0.14,45.49,0.28,20.94,0.05,-25.03,0.24,0.01,3.29,0.04,4,3.5
2974,F,21.48,3,28.35,1.61,19.87,0.09,-21.05,0.24,0.18,20.33,0.11,19.87,0.11,-24.27,0.24,0.01,3.42,0.04,4,3.4
3032,F,21.98,3,19.3,1.07,20.41,0.12,-19.73,0.28,0.06,10.61,0.09,20.41,0.2,-22.49,0.28,0,3.08,0.04,3.6,3.6
3156,F,22.39,3,14.78,0.44,20.02,0.15,-19.58,0.14,0.11,13.4,0.14,20.02,0.16,-22.39,0.14,0.01,2.89,0.03,2.4,2.4
3377,C,11.22,3,38.28,1.99,20.02,0.07,-20.14,0.1,0.11,21.8,0.22,20.02,0.1,-22.92,0.09,0.01,3.08,0.04,4,4
3379,C,10.57,3,44.89,1.47,19.47,0.05,-20.9,0.11,0.08,33.53,0.4,19.47,0.07,-24.04,0.11,0,3.31,0.03,4,4
3384,C,11.59,3,28.5,0.91,19.15,0.08,-20.44,0.14,0.09,20.41,0.09,19.15,0.11,-23.57,0.14,0,3.28,0.02,4,4
3414,F,25.23,3,32.02,1.45,20.31,0.08,-21.22,0.33,0.08,20.47,0.23,20.31,0.11,-24.29,0.33,0,3.31,0.03,4,4
3489,C,12.08,3,21.51,0.81,18.82,0.1,-20.25,0.15,0.05,13.38,0.14,18.82,0.16,-23.14,0.15,0,3.15,0.02,4,3
3608,F,22.91,3,33.64,1.52,20.34,0.07,-21.09,0.14,0.07,23.98,0.15,20.34,0.09,-24.14,0.14,0,3.24,0.04,4,4
4150,C,13.74,3,15.88,0.52,19.62,0.14,-19.07,0.24,0.06,10.1,0.09,19.62,0.21,-22.04,0.24,0,3.24,0.02,2.6,2.6
4262,C,15.42,2,10.6,0.43,18.53,0.21,-19.54,0.06,0.11,7.64,0.07,18.53,0.28,-22.71,0.06,0.01,3.34,0.02,4,4
4270,C,16.53,5,13.68,0.47,19.74,0.16,-19.02,0.09,0.07,13.34,0.14,19.74,0.16,-22.21,0.08,0,3.21,0.03,2.2,2.2
4278,C,16.07,3,30.57,1.07,19.48,0.07,-20.97,0.2,0.09,22.51,0.39,19.48,0.1,-24.14,0.2,0,3.32,0.02,4,4
4374,C,18.45,2,70.08,2.95,20.17,0.04,-22.39,0.06,0.13,47.95,0.6,20.17,0.05,-25.46,0.05,0.01,3.28,0.03,4,4
4382,C,17.86,2,94.4,3.17,20.58,0.04,-22.55,0.06,0.1,74.77,0.7,20.58,0.03,-25.6,0.05,0.01,3.21,0.04,4,4
4387,C,17.95,2,11.04,0.22,19.33,0.2,-19.15,0.06,0.11,10.43,0.08,19.33,0.21,-22.28,0.06,0.01,3.18,0.02,2.1,2.1
4458,C,16.37,2,19.94,0.96,20.46,0.12,-19.11,0.06,0.08,15.21,0.14,20.46,0.14,-21.99,0.05,0,3.07,0.04,3.1,2.9
4459,C,16.07,2,40.97,1.48,20.09,0.06,-21,0.07,0.15,26.54,0.36,20.09,0.08,-24.12,0.06,0.01,3.35,0.03,4,4
4473,C,15.28,2,26.76,0.89,19.29,0.08,-20.76,0.06,0.09,22.26,0.31,19.29,0.1,-23.97,0.06,0,3.3,0.02,4,4.4
4477,C,16.53,5,46.48,2.22,20.48,0.06,-20.94,0.09,0.1,35.87,0.69,20.48,0.06,-24.1,0.08,0.01,3.32,0.04,4,4
4486,C,17.22,2,106.18,4.23,20.6,0.05,-22.7,0.08,0.07,80.69,0.71,20.6,0.03,-25.98,0.07,0,3.44,0.04,4,4
4526,C,16.9,3,35.7,1.29,19.44,0.07,-21.46,0.2,0.07,24.03,0.22,19.44,0.09,-24.75,0.2,0,3.53,0.03,3.3,3.2
4546,C,14.06,3,21.98,0.94,19.03,0.1,-20.41,0.2,0.11,13.6,0.1,19.03,0.16,-23.48,0.2,0.01,3.34,0.03,4,3.4
4550,C,15.49,2,11.55,0.27,19,0.19,-19.26,0.05,0.13,10.13,0.06,19,0.21,-22.3,0.05,0.01,3.15,0.02,1.8,1.8
4552,C,15.85,2,33.89,1.09,19.43,0.07,-21.21,0.06,0.13,27.88,0.21,19.43,0.08,-24.53,0.06,0.01,3.43,0.02,4,4
4564,C,15.85,2,19.35,1.11,19.41,0.12,-20.02,0.07,0.11,12.97,0.21,19.41,0.17,-23.13,0.06,0.01,3.34,0.04,4,3.4
4570,C,17.06,2,12.75,0.56,18.48,0.17,-20.2,0.07,0.07,9.17,0.08,18.48,0.24,-23.33,0.06,0,3.34,0.03,4,2.4
4621,C,14.93,2,46.06,2.99,19.96,0.06,-21.22,0.07,0.11,30.38,0.39,19.96,0.07,-24.32,0.06,0.01,3.33,0.04,4,4
4660,C,15,2,11.54,0.41,18.44,0.19,-19.75,0.05,0.11,8.87,0.11,18.44,0.25,-22.89,0.05,0.01,3.31,0.02,4,4
5198,F,48.78,8,18.01,0.69,20.09,0.12,-21.62,0.03,0.08,15.01,0.14,20.09,0.14,-24.8,0.01,0,3.31,0.03,2.5,2.5
5308,F,29.43,4,9.89,0.25,18.72,0.22,-20.6,0.22,0.06,7.31,0.04,18.72,0.3,-23.73,0.22,0,3.38,0.02,4,1.7
5813,F,32.21,3,55.99,2.72,20.94,0.06,-22.33,0.19,0.19,39.03,0.62,20.94,0.06,-25.42,0.18,0.01,3.33,0.05,4,4
5831,F,27.16,3,29.19,1.7,20.45,0.08,-21.04,0.17,0.19,21.82,0.27,20.45,0.1,-24.11,0.17,0.01,3.23,0.04,4,4
5838,F,23.99,0,20.61,0.87,19.29,0.11,-21.18,0.49,0.17,15.25,0.12,19.29,0.14,-24.43,0.49,0.01,3.41,0.03,4,3.8
5845,F,25.94,3,4.29,0.26,17.37,0.51,-19.86,0.21,0.17,3.59,0.08,17.37,0.61,-22.98,0.21,0.01,3.29,0.05,4,4
5846,F,24.89,3,76.79,3.32,21.03,0.05,-22.37,0.21,0.18,64.39,0.61,21.03,0.04,-25.62,0.2,0.01,3.35,0.05,4,4
5982,F,40.36,1,24.89,1.19,20.03,0.09,-21.97,0.09,0.06,19.65,0.19,20.03,0.11,-25.23,0.09,0,3.38,0.03,4,4
7332,F,23.01,3,9.21,0.15,18.09,0.24,-20.54,0.2,0.12,8.14,0.04,18.09,0.27,-23.64,0.2,0.01,3.2,0.01,2,2
7457,F,13.24,3,33.25,1.28,20.59,0.08,-19.63,0.21,0.17,27.37,0.19,20.59,0.08,-22.55,0.21,0.01,3.08,0.04,2.5,2.5
1056,F,32.21,7,17.48,1.24,20.17,0.13,-20.57,0.4,0.48,7.14,0.32,20.17,0.31,-23.84,0.4,0.03,3.7,0.06,4,4
2273,F,31.62,6,27.64,1.22,20.53,0.09,-21.17,0.39,0.23,17.78,0.65,20.53,0.12,-24.56,0.39,0.01,3.64,0.04,2.9,6.6
2844,F,25.12,0,16.91,1.23,20.72,0.14,-19.42,0.49,0.06,7.39,0.11,20.72,0.29,-22.39,0.49,0,3.41,0.05,4,2.9
3623,C,11.97,7,48.21,0.95,19.73,0.05,-21.07,0.35,0.08,31.99,0.32,19.73,0.07,-24.14,0.35,0,3.45,0.03,2.1,1.5
4220,F,18.79,7,20.3,0.5,20.08,0.11,-19.82,0.36,0.06,13.5,0.08,20.08,0.16,-23.1,0.36,0,3.62,0.03,1.6,2.1
4235,C,16.53,5,16.44,0.49,19.96,0.13,-19.21,0.09,0.06,12.3,0.24,19.96,0.18,-22.74,0.08,0,3.71,0.03,1.9,1.9
4245,C,13.18,0,35.95,1.63,20.77,0.07,-19.6,0.49,0.07,22.14,0.23,20.77,0.1,-22.5,0.49,0,3.24,0.04,3.5,3.5
4274,C,19.41,7,45.43,1.26,20.56,0.06,-21.16,0.36,0.07,33.7,0.16,20.56,0.06,-24.45,0.36,0,3.53,0.03,2.3,1.6
4293,C,16.53,5,52.2,1.63,21.09,0.06,-20.59,0.09,0.13,31,0.48,21.09,0.07,-23.51,0.08,0.01,3.36,0.05,1.8,2.4
4314,C,17.38,0,46.9,2.24,20.74,0.06,-20.81,0.49,0.08,32.8,0.59,20.74,0.07,-23.94,0.49,0,3.31,0.03,4,3
4369,F,20.89,0,24.73,1.27,20.38,0.09,-20.18,0.49,0.08,14.67,0.15,20.38,0.15,-23.01,0.49,0,3.13,0.04,4,2.7
4383,C,16.53,5,14.83,0.79,19.77,0.15,-19.18,0.09,0.08,9.98,0.19,19.77,0.22,-22.3,0.08,0,3.32,0.03,4,4
4405,C,16.53,5,18.29,0.48,20.51,0.12,-18.89,0.09,0.08,12.95,0.17,20.51,0.17,-21.83,0.08,0,3.25,0.04,1.2,1.2
4425,C,16.53,5,15.91,0.65,20.03,0.14,-19.07,0.09,0.09,12.36,0.09,20.03,0.18,-22,0.08,0,3.14,0.04,2,2
4596,C,16.53,5,59.91,3.05,20.93,0.06,-21.05,0.09,0.07,38.24,0.45,20.93,0.06,-24.02,0.08,0,3.25,0.05,4,4
4698,C,16.53,5,50.64,2.4,20.76,0.06,-20.85,0.09,0.08,33.74,0.22,20.76,0.06,-23.8,0.08,0,3.22,0.04,4,3
4772,C,16.53,5,42.71,2.34,21.08,0.07,-20.16,0.09,0.09,25.26,0.31,21.08,0.09,-23.01,0.08,0,3.14,0.05,4,4
5448,F,34.83,6,24.97,0.87,20.88,0.1,-20.81,0.18,0.05,17.09,0.26,20.88,0.13,-24,0.18,0,3.48,0.04,1.8,3
5475,F,30.2,0,9.42,0.23,19.54,0.23,-19.73,0.49,0.04,7.78,0.07,19.54,0.28,-22.95,0.49,0,3.36,0.02,1.3,2.4
5636,F,28.84,0,22.89,0.89,21.72,0.11,-19.38,0.49,0.11,16.65,0.24,21.72,0.13,-21.81,0.49,0.01,2.85,0.07,1,1
5689,F,36.31,0,12.63,0.35,19.29,0.17,-21.02,0.49,0.12,7.91,0.04,19.29,0.27,-24.24,0.49,0.01,3.56,0.03,2.1,2.1
5953,F,33.11,0,12.84,0.72,19.53,0.17,-20.61,0.49,0.16,6.88,0.14,19.53,0.32,-24.03,0.49,0.01,3.71,0.04,4,4
6501,F,47.86,0,20.27,1.4,20.37,0.12,-21.56,0.49,0.29,14.02,0.33,20.37,0.16,-24.73,0.49,0.02,3.35,0.05,4,5.9
7742,F,22.91,0,13.93,0.36,19.17,0.16,-20.35,0.49,0.18,12.05,0.07,19.17,0.18,-23.41,0.49,0.01,3.18,0.02,2.1,2.1
