Name,(m-M) (mag),M_B (mag),R_e (arcsec),Dispersion (km/s)
474,32.56,-20.42,29,150
524,31.84,-21.4,51,235
821,31.85,-20.44,39,189
1023,30.23,-20.42,48,182
2549,30.44,-19.36,20,145
2685,31.15,-19.05,20,96
2695,32.49,-19.38,21,188
2699,32.09,-18.85,14,124
2768,31.69,-21.15,71,216
2974,31.6,-20.32,24,233
3032,31.65,-18.77,17,90
3156,31.69,-18.08,25,65
3377,30.19,-19.24,38,138
3379,30.06,-20.16,42,201
3384,30.27,-19.56,27,145
3414,31.95,-19.78,33,205
3489,30.35,-19.32,19,98
3608,31.74,-19.54,41,178
4150,30.64,-18.48,15,77
4262,31.23,-18.88,10,172
4270,32.83,-18.28,18,122
4278,30.97,-19.93,32,231
4374,31.27,-21.23,71,278
4382,31.27,-21.28,67,196
4387,31.59,-18.34,17,98
4458,31.12,-18.42,27,85
4459,30.98,-19.99,38,168
4473,30.92,-20.26,27,192
4477,31.07,-19.96,47,162
4486,30.97,-21.79,105,298
4526,31.08,-20.68,40,222
4546,30.69,-19.98,22,194
4550,30.94,-18.83,14,110
4552,30.86,-20.58,32,252
4564,30.82,-19.39,21,155
4570,31.23,-19.54,14,173
4621,31.25,-20.64,46,211
4660,30.48,-19.22,11,185
5198,33.06,-20.38,25,179
5308,32.65,-20.27,10,208
5813,32.38,-20.99,52,230
5831,32.11,-19.73,35,151
5838,32.37,-19.87,23,240
5845,32.01,-18.58,4,239
5846,31.92,-21.24,81,238
5982,33.15,-21.46,27,229
7332,31.4,-19.93,11,125
7457,30.55,-18.81,65,78