Name,R_e,mu_V_e,Dispersion,M_I,ERR_M_I,M_i,M_V,ERR_M_V,E(B-V)
VCC21,13.86,21.59,15.69999981,-17.78,0.03,-18.3,-16.75,0.03,0.021
VCC308,19.16,21.79,33.96153641,-18.78,0.05,-19.3,-17.65,0.05,0.021
VCC397,13.56,21.86,36.6090889,-17.62,0.05,-18.14,-16.44,0.05,0.02
VCC523,26.73,21.7,39.28461456,-19.16,0.03,-19.68,-18.23,0.03,0.044
VCC856,16.21,21.63,31.76666832,-18.49,0.06,-19.01,-17.45,0.06,0.024
VCC917,9.68,21.22,31.80769157,-17.39,0.03,-17.91,-16.26,0.03,0.032
VCC990,9.88,20.52,39.07777786,-18.27,0.03,-18.79,-17.13,0.03,0.028
VCC1087,27.02,21.94,44.53846741,-18.94,0.06,-19.46,-17.97,0.06,0.026
VCC1122,14.26,21.27,36.37692642,-17.94,0.03,-18.46,-16.86,0.03,0.021
VCC1183,21.85,21.99,42.23999786,-18.59,0.03,-19.11,-17.55,0.03,0.031
VCC1261,23.76,21.28,48.69999695,-19.39,0.06,-19.91,-18.38,0.06,0.028
VCC1431,10.31,20.78,61.07142258,-18.47,0.06,-18.99,-17.28,0.06,0.054
VCC1549,13.09,21.55,37.3599968,-18.18,0.03,-18.7,-16.96,0.03,0.03
VCC1695,27.61,22.69,31.1461525,-18.13,0.08,-18.65,-17.33,0.08,0.045
VCC1861,21.57,22.12,37.06922913,-18.57,0.06,-19.09,-17.55,0.06,0.03
VCC1910,14.24,21.2,42.92222214,-18.63,0.06,-19.15,-17.43,0.06,0.03
VCC1912,23.53,21.55,35.90909195,-18.62,0.03,-19.14,-17.58,0.03,0.032
VCC1947,11.26,20.76,49.20000076,-18.46,0.03,-18.98,-17.33,0.03,0.027