Galaxy,Distance[kpc],Distance_ERR,Luminosity[L_sun],Luminosity_ERR,R_0[arcmin],R_0_ERR,r_lim[arcmin],r_lim_ERR,2DR_half[pc],2DR_ERR,3DR_half[pc],3DR_ERR,sigma_los[km/s],sigma_ERR,Dyn_Mass[M_sun],Dmass_ERR,M/L[M_sun/L_sun],M/L_ERR
Carina(723),105,2,430000,100000,8.8,1.2,28.8,3.6,254,28,334,37,6.4,0.2,9560000,925000,44,11.5
Draco(206),76,5,220000,65000,7.63,0.04,45.1,0.6,220,11,291,14,10.1,0.5,21100000,3100000,200,70
Fornax(2409),147,3,17000000,4500000,13.7,1.2,71.1,4,714,40,944,53,10.7,0.2,73900000,3850000,8.7,2.55
LeoI(305),254,18,5000000,1550000,6.21,0.95,11.7,0.87,295,49,388,64,9,0.4,22100000,2400000,8.8,2.9
LeoII(168),233,15,780000,220000,2.64,0.19,9.33,0.47,177,13,233,17,6.6,0.5,7250000,1100000,19,6
Sculptor(1355),86,5,2500000,800000,5.8,1.6,76.5,5,282,41,375,54,9,0.2,22500000,1550000,18,5.5
Sextans(423),96,3,590000,170000,16.6,1.2,160,50,768,47,1019,62,7.1,0.3,34900000,5200000,120,37.5
UrsaMinor(212),77,4,390000,150000,17.9,2.1,77.9,8.9,445,44,588,58,11.5,0.6,55600000,7550000,290,115
BootesI(12),66,3,28000,5000,7.51,0.57,45,0,242,21,322,28,9,2.2,23600000,11850000,1700,1050
CanesVenaticiI(214),218,10,230000,35000,5.3,0.24,50,0,564,36,750,48,7.6,0.5,2.77E+07,7.40E+06,240,70
CanesVenaticiII(25),160,5,7900,3700,0.95,0.15,10,0,74,12,97,15.5,4.6,1,1.43E+06,1.00E+06,360,280
ComaBerenices(59),44,4,3700,1800,3.57,0.36,18,0,77,10,100,13,4.6,0.8,1.97E+06,7.40E+05,1100,650
Hercules(30),133,6,11000,4000,3.52,0.3,40,0,229,19,305,26,5.1,0.9,7.50E+06,4.43E+06,1400,950
LeoIV(17),160,15,8700,4500,1.49,0.36,15,0,116,30,151,39,3.3,1.7,1.14E+06,2.21E+06,260,600
LeoT(18),407,38,140000,0,0.68,0.08,4.8,1,115,17,152,21,7.8,1.6,7.37E+06,3.90E+06,110,55
Segue1(24),23,2,340,230,2.62,0.535,20,0,29,6.5,38,8.5,4.3,1.1,6.01E+05,3.94E+05,3500,3500
UrsaMajorI(39),97,4,14000,4000,6.73,0.89,50,0,318,49.5,416,58,7.6,1,1.26E+07,5950000,1800,1000
UrsaMajorII(20),32,4,4000,1950,9.52,0.6,50,0,140,25,184,33,6.7,1.4,7.91E+06,4.37E+06,4000,2900
Willman1(40),38,7,1000,700,1.37,0.18,9,0,25,5.5,33,7.5,4,0.9,3.86E+05,2.05E+05,770,685
NGC185(n=1.2),616,26,1.10E+08,0,1.49,0,14.9,0,266,0,355,0,31,1,2.93E+08,8.95E+07,5.3,1.65
NGC855(n=1.9),9320,0.00E+00,1.10E+09,0,0.23,0,2.3,0,624,0,837,0,58,3,2.48E+09,5.15E+08,4.5,0.95
NGC499(n=3.6),62300,0,4.10E+10,0,0.25,0,2.5,0,4500,0,6070,0,274,7,3.27E+11,5.10E+10,16,24.5
NGC731(n=3.8),52700,0,3.90E+10,0,0.24,0,2.4,0,3600,0,4850,0,163,1,8.52E+10,9.75E+09,4.4,0.5
NGC3853(n=4.0),44600,0,2.10E+10,0,0.24,0,2.4,0,3050,0,4110,0,198,3,8.54E+10,1.39E+10,8.1,1.3
NGC4478(n=2.07),16980,0,7.00E+09,0,0.22,0,1.73,0,1110,0,1490,0,147,1,1.96E+10,2.25E+09,5.6,0.75