FCC name,FDS name,year,RA (deg),DEC (deg),m_r (mag),M_r (mag),ERR_m_r (mag),mu_r (mag/arcsec2),ERR_mu_r (mag/arcsec2),R_e (arcsec),ERR_R_e (arcsec),Axis ratio,Sersic index,log10(M_*/M_Sun),ERR_log10(M_*/M_Sun),Velocity,Error.Velocity,Sigma,Error.Sigma
FCC213,FDS11_DWARF003,2016,54.620899,-35.450439,8.49,-23.02,0.08,20.7,0.23,114.88,8.41,0.92,5.8,11.289,0.002,1449.9713,0.0034,339.8137,6.4832
FCC167,FDS11_DWARF006,2016,54.115009,-34.976017,9.5,-22.01,0.06,19.18,0.17,44.49,2.49,0.59,2.88,10.8922,0.0019,1801.1739,0.0066,196.4678,1.2184
FCC219,FDS11_DWARF166,2016,54.7164,-35.593323,9.51,-22,0.05,18.45,0.13,26.15,1.09,0.87,3.6,10.9633,0.0018,1920.1146,0.0042,225.5176,3.287
FCC184,FDS11_DWARF001,2016,54.237602,-35.506592,9.67,-21.84,0.09,20.91,0.24,73.56,5.68,0.93,7.47,10.8111,0.0021,1286.7913,0.0081,160.7276,1.6992
FCC29,FDS25_DWARF000,2018,50.984844,-36.464443,9.95,-21.56,0.07,19.92,0.19,43.82,2.72,0.81,5.43,10.6949,0.002,1358.1011,0.0051,116.1258,1.0086
FCC179,FDS12_DWARF003,2016,54.192539,-35.999268,10.28,-21.23,0.1,20.84,0.29,74.62,6.79,0.48,6.86,10.5091,0.0024,890.1691,0.0075,116.6892,1.473
FCC147,FDS16_DWARF001,2016,53.819111,-35.226257,10.43,-21.08,0.06,19.75,0.17,29.51,1.67,0.98,5.39,10.4283,0.002,1343.0191,0.0068,159.1326,1.4951
FCC83,FDS19_DWARF000,2018,52.645653,-34.853939,10.69,-20.82,0.1,20.87,0.27,55.35,4.74,0.61,6.81,10.4017,0.0023,1522.0029,0.0044,131.695,0.5972
FCC193,FDS11_DWARF000,2016,54.298901,-35.746105,11.17,-20.34,0.05,18.67,0.15,15.53,0.74,0.66,3.09,10.1979,0.002,960.5821,0.0056,122.3899,1.3667
FCC153,FDS15_DWARF002,2016,53.87944,-34.447021,11.89,-19.62,0.08,18.63,0.22,23.15,1.66,0.15,1.62,9.9481,0.0023,1637.0467,0.0079,58.8867,0.5222
FCC177,FDS10_DWARF000,2016,54.197838,-34.739735,12.17,-19.34,0.1,20.01,0.27,28.81,2.51,0.26,1.66,9.7978,0.0025,1580.4384,0.0092,43.0576,0.6864
FCC249,FDS13_DWARF000,2018,55.175434,-37.510769,12.3,-19.21,0.05,18.54,0.12,7.13,0.3,0.98,3.47,9.8011,0.002,1568.5668,0.0037,104.5814,0.5797
FCC190,FDS11_DWARF005,2016,54.287319,-35.195053,12.32,-19.19,0.07,20.28,0.2,16.23,1.07,0.92,1.81,9.6728,0.0022,1782.0956,0.0098,79.2564,7.8886
FCC143,FDS16_DWARF002,2016,53.746666,-35.171089,12.85,-18.66,0.06,19.63,0.17,9.81,0.56,0.85,4.34,9.456,0.0022,1368.8682,0.0097,66.0774,1.0189
FCC235,FDS11_DWARF519,2016,55.041069,-35.629093,12.94,-18.57,0.14,22.64,0.42,42.3,5.54,0.68,0.85,9.0386,0.0034,1992.5866,0.0417,29.9744,7.4942
FCC301,FDS7_DWARF000,2018,56.2649,-35.972668,13.17,-18.34,0.06,18.89,0.16,7.6,0.41,0.54,2.12,9.3652,0.0022,1033.6305,0.0085,56.779,1.87
FCC263,FDS5_DWARF000,2018,55.385574,-34.888752,13.23,-18.28,0.09,20.51,0.26,16.47,1.38,0.48,1.37,9.0004,0.0027,1733.7018,0.0102,35.4686,1.3586
FCC37,FDS25_DWARF241,2018,51.289337,-36.365185,13.34,-18.17,0.14,22.56,0.41,33.89,4.35,0.68,1.09,9.0192,0.0033,1829.0487,0.091,23.116,11.7317
FCC33,FDS26_DWARF003,2018,51.243237,-37.009613,13.44,-18.07,0.1,20.5,0.28,16.89,1.51,0.37,1.18,9.2439,0.0027,1976.0041,0.0139,34.6622,0.9357
FCC285,FDS7_DWARF360,2018,55.760147,-36.273357,13.54,-17.97,0.15,22.78,0.42,32.65,4.32,0.74,1.22,8.7834,0.0035,890.7293,0.0314,14.4437,5.1387
FCC182,FDS11_DWARF279,2016,54.226295,-35.374714,13.62,-17.89,0.08,20.5,0.21,9.67,0.66,0.96,2.43,9.1682,0.0024,1692.4067,0.011,38.8543,0.4939
FCC136,FDS16_DWARF159,2016,53.622837,-35.546459,13.74,-17.77,0.11,21.78,0.31,17.5,1.72,0.85,2.14,9.0824,0.0028,1237.335,0.0226,30.9298,1.5543
FCC106,FDS15_DWARF417,2018,53.198673,-34.238728,14.09,-17.42,0.09,20.44,0.26,10.65,0.87,0.49,2.18,8.8965,0.0027,2053.147,0.0138,36.6946,1.2047
FCC202,FDS11_DWARF235,2015,54.527325,-35.439911,14.17,-17.34,0.11,21.21,0.3,13.28,1.25,0.59,1.67,8.9093,0.0028,845.4551,0.0224,31.5052,1.009
FCC113,FDS15_DWARF107,2018,53.279419,-34.805576,14.47,-17.04,0.14,22.45,0.39,18.92,2.35,0.69,1.19,8.479,0.0035,1381.8015,0.0329,10.3114,5.6974
FCC222,FDS11_DWARF283,2015,54.8055,-35.37141,14.54,-16.97,0.13,22.44,0.36,16.1,1.86,0.89,1.35,8.7708,0.0033,807.8665,0.0402,18.6047,3.8464
FCC100,FDS16_DWARF417,2018,52.948479,-35.051388,14.55,-16.96,0.14,22.72,0.41,19.77,2.56,0.76,1.46,8.7505,0.0035,1648.0225,0.0574,26.4483,5.5318
FCC203,FDS10_DWARF189,2016,54.5382,-34.518761,14.61,-16.9,0.13,21.97,0.37,16.04,1.88,0.55,1.46,8.757,0.0033,1138.9494,0.0306,31.3815,2.3254
FCC135,FDS15_DWARF384,2016,53.628445,-34.297371,14.69,-16.82,0.13,21.7,0.36,14.72,1.68,0.47,1.58,8.7083,0.0032,1247.7423,0.0293,21.2401,2.7843
FCC207,FDS11_DWARF396,2015,54.580185,-35.129124,14.92,-16.59,0.11,21.63,0.3,9.59,0.92,0.83,1.54,8.5125,0.003,1422.5261,0.0405,24.1795,4.8484
FCC245,FDS11_DWARF458,2018,55.140991,-35.022888,15.01,-16.5,0.14,22.72,0.39,14.52,1.78,0.92,1.51,8.5729,0.0035,2188.0431,0.0523,25.3773,4.3179
FCC252,FDS11_DWARF069,2018,55.209988,-35.748455,15.1,-16.41,0.12,22.25,0.34,11.13,1.21,0.94,1.21,8.5849,0.0032,1359.0045,0.0424,24.4416,8.713
FCC300,FDS7_DWARF326,2018,56.249588,-36.319752,15.13,-16.38,0.17,23.37,0.49,20.82,3.23,0.72,1.14,8.5498,0.0041,1401.4274,0.0583,18.0232,5.4663
FCC266,FDS6_DWARF455,2018,55.422161,-35.170265,15.16,-16.35,0.09,21.23,0.26,6.91,0.58,0.89,1.17,8.4988,0.0028,1556.0313,0.0315,24.0355,4.7049
FCC46,FDS22_DWARF244,2018,51.604301,-37.127785,15.2,-16.31,0.11,21.35,0.3,8.51,0.82,0.64,0.98,8.3101,0.0031,2240.7507,0.0225,32.2014,5.6714
FCC188,FDS11_DWARF155,2015,54.268906,-35.590149,15.25,-16.26,0.13,22.64,0.38,12.2,1.45,0.96,1,8.4255,0.0035,1088.7607,0.0701,15.4514,3.7701
FCC211,FDS11_DWARF339,2015,54.589504,-35.259689,15.4,-16.11,0.1,21.17,0.27,6.58,0.58,0.75,1.66,8.3387,0.0029,2296.7103,0.0337,20.141,5.716
FCC164,FDS12_DWARF367,2016,54.053589,-36.166451,15.51,-16,0.13,21.85,0.36,9.95,1.13,0.55,1.47,8.3351,0.0034,1440.3373,0.0449,11.0678,5.2301
FCC306,FDS7_DWARF310,2018,56.439095,-36.3461,15.6,-15.91,0.11,21.33,0.31,7.26,0.71,0.59,0.9,7.9136,0.0033,893.2473,0.0274,14.0366,5.9076
FCC253,FDS13_DWARF042,2018,55.230301,-37.837627,15.68,-15.83,0.14,22.35,0.39,10.92,1.36,0.62,1.13,8.3048,0.0036,1647.2012,0.0525,17.7121,6.4887
FCC274,FDS6_DWARF208,2015,55.571922,-35.540737,15.76,-15.75,0.15,23.12,0.43,12.05,1.62,0.96,1.26,8.1779,0.0039,972.9859,0.0853,18.274,12.6537
FCC298,FDS6_DWARF098,2018,56.18507,-35.683716,15.89,-15.62,0.11,21.73,0.32,6.97,0.71,0.71,1.19,8.1686,0.0033,1654.2287,0.0377,29.0552,5.8133
FCC264,FDS6_DWARF170,2015,55.382313,-35.58955,16,-15.51,0.14,22.06,0.41,10.27,1.34,0.4,1.05,8.0985,0.0038,1924.031,0.0576,11.7375,5.5398
FCC195,FDS10_DWARF014,2016,54.347183,-34.900108,16.07,-15.44,0.16,22.92,0.48,12.78,1.92,0.54,1.06,8.1332,0.0041,1293.7575,0.1004,20.1151,10.4218
FCC250,FDS13_DWARF258,2018,55.184971,-37.408268,16.45,-15.06,0.15,22.97,0.44,9.22,1.27,0.76,0.84,7.9732,0.004,1251.4371,0.0821,18.678,10.4047
FCC178,FDS10_DWARF302,2016,54.202728,-34.280102,16.49,-15.02,0.17,23.37,0.5,11.26,1.76,0.71,1.24,7.949,0.0043,1283.5992,0.1324,21.2195,10.6095
FCC134,FDS15_DWARF223,2016,53.590393,-34.592522,16.91,-14.6,0.14,22.36,0.41,6.52,0.84,0.57,0.81,7.6366,0.004,1397.2789,0.0924,22.8041,8.3158
FCC51,FDS21_DWARF129,2018,51.776043,-36.636787,17.36,-14.15,0.13,22.21,0.37,4.45,0.52,0.7,0.96,7.5933,0.0037,2107.6849,0.086,17.1884,9.2307
