OBJ,M_V(mag),ERR_m_V(mag),R_e(pc),ERR_R_e(pc),(M_*/L)_V,ERR_(M_*/L)_V,Sigma(km/s),ERR_Sigma(km/s),Luminosity_V_1/2(L_sun),ERR_L_V,Dyn_Mass_1/2(M_sun),ERR_DynM,M/L_V(M_sun/L_sun),ERR_M/L_V
474,-20.87,0.12,4017.36,236.06,3.5200,0.6300,142.0000,0.0000,9527303589.8163,-1052996506.6723,75335698113.2342,4426777132.7221,7.9073,0.9898
524,-21.75,0.20,4118.42,118.63,5.3600,0.5900,225.0000,0.0000,21427426019.8720,-3947077738.7672,193900543466.7457,5585387018.8105,9.0492,1.6872
821,-21.30,0.17,3660.60,174.09,4.5400,0.6150,182.0000,0.0000,14156959978.9970,-2216637140.6631,112765961897.0380,5362951906.3705,7.9654,1.3035
1023,-21.08,0.16,2701.44,80.90,5.1700,0.5650,165.0000,0.0000,11560323950.8779,-1703592294.3663,68398496318.0000,2048447274.3442,5.9167,0.8897
2549,-19.38,0.28,853.70,26.37,2.6800,0.7750,140.0000,0.0000,2415294010.1989,-622879038.1052,15561220173.2315,480698611.6731,6.4428,1.6734
2685,-19.95,0.49,1905.74,93.36,2.8800,0.7150,100.0000,0.0000,4082911856.7930,-1842645387.5822,17723422946.0386,868208218.6404,4.3409,1.9706
2695,-20.86,0.40,2940.04,197.68,5.0100,0.2800,184.0000,0.0000,9439956745.4815,-3477808588.9047,92570276490.3006,6224042069.2518,9.8062,3.6724
2699,-19.97,0.27,1584.41,123.99,3.9100,0.6100,123.0000,0.0000,4158818855.5134,-1034211704.5261,22292654260.3083,1744482829.2663,5.3603,1.3974
2768,-21.97,0.24,7378.13,337.59,4.2800,0.6350,200.0000,0.0000,26240373012.4886,-5800386406.3833,274466390025.7437,12558341518.0236,10.4597,2.3611
2974,-21.05,0.24,2952.31,167.66,4.3300,0.5800,227.0000,0.0000,11245273029.1790,-2485747012.1890,141480592536.4731,8034700316.8861,12.5813,2.8714
3032,-19.73,0.28,2056.65,114.02,1.3100,0.7150,90.0000,0.0000,3334033846.0681,-859812422.9513,15492725686.6681,858923133.9241,4.6468,1.2258
3156,-19.58,0.14,1604.37,47.76,1.4500,0.5850,66.0000,0.0000,2903822087.6066,-374432657.2913,6499414187.6536,193487296.5201,2.2382,0.2962
3377,-20.14,0.10,2082.28,108.25,2.8800,0.7000,126.0000,0.0000,4863736118.8848,-447966651.3440,30744235038.7744,1598250463.0920,6.3211,0.6685
3379,-20.90,0.11,2300.38,75.33,4.9000,0.5850,190.0000,0.0000,9794223367.5299,-992289439.8352,77230635767.3863,2529049556.2053,7.8853,0.8396
3384,-20.44,0.14,1601.41,51.13,3.4000,0.6500,141.0000,0.0000,6411652913.2801,-826749079.4960,29609040679.6480,945411474.3326,4.6180,0.6135
3414,-21.22,0.33,3916.64,177.36,4.7400,0.4400,191.0000,0.0000,13151339959.4769,-3997234473.3537,132881073500.6513,6017412760.0232,10.1040,3.1049
3489,-20.25,0.15,1259.74,47.44,1.9400,0.6600,99.0000,0.0000,5382326068.1492,-743595826.2092,11482476076.4409,432394496.6024,2.1334,0.3055
3608,-21.09,0.14,3736.42,168.83,4.1000,0.6150,167.0000,0.0000,11667290311.4051,-1504436009.8138,96910723080.9007,4378843611.2654,8.3062,1.1349
4150,-19.07,0.24,1057.82,34.64,2.0200,0.6950,77.0000,0.0000,1815390273.8505,-401288695.9233,5832792093.5903,190998229.7649,3.2130,0.7180
4262,-19.54,0.06,792.44,32.15,4.8400,0.4250,164.0000,0.0000,2798788007.4755,-154666741.0671,19821465023.2778,804078298.1141,7.0822,0.4855
4270,-19.02,0.09,1096.31,37.67,4.1000,0.6550,125.0000,0.0000,1733684252.2627,-143710398.5479,15930770909.4278,547329117.5023,9.1890,0.8245
4278,-20.97,0.20,2381.70,83.36,4.3700,0.6000,217.0000,0.0000,10446480654.2702,-1924312850.3019,104301030322.8879,3650706655.0700,9.9843,1.8721
4374,-22.39,0.06,6268.52,263.87,5.0600,0.4800,261.0000,0.0000,38634029254.7851,-2134995356.2647,397126889068.7604,16716956660.2860,10.2792,0.7141
4382,-22.55,0.06,8173.88,274.48,2.9300,0.6850,178.0000,0.0000,44768238277.4799,-2473984274.3359,240852561161.4334,8087951471.2049,5.3800,0.3479
4387,-19.15,0.06,960.75,19.15,4.7800,0.4900,98.0000,0.0000,1954204478.9620,-107993330.4461,8581110472.3296,171000389.8471,4.3911,0.2580
4458,-19.11,0.06,1582.52,76.19,4.1800,0.3650,83.0000,0.0000,1883518994.9195,-104087106.2417,10138829820.5402,488128216.0340,5.3829,0.3945
4459,-21.00,0.07,3191.95,115.31,2.9900,0.6900,155.0000,0.0000,10739152370.6527,-692378740.4816,71318639928.5801,2576314061.3693,6.6410,0.4908
4473,-20.76,0.06,1982.37,65.93,5.1100,0.5550,186.0000,0.0000,8609342874.9301,-475769869.5429,63781270671.1773,2121275444.5945,7.4084,0.4778
4477,-20.94,0.09,3724.89,177.91,4.7100,0.5900,147.0000,0.0000,10161785054.6811,-842341492.2643,74856834472.4361,3575347945.9726,7.3665,0.7047
4486,-22.70,0.08,8864.43,353.14,5.5600,0.3000,268.0000,0.0000,51400814906.3237,-3787352005.4735,592111193945.3378,23588532213.1171,11.5195,0.9649
4526,-21.46,0.20,2925.03,105.69,4.6100,0.5850,214.0000,0.0000,16404764655.6560,-3021869324.0151,124577692626.9104,4501546876.4346,7.5940,1.4255
4546,-20.41,0.20,1498.26,64.07,5.0200,0.4850,189.0000,0.0000,6236917571.2147,-1148882674.0569,49773070420.2890,2128602647.6375,7.9804,1.5091
4550,-19.26,0.05,867.38,20.28,2.9700,0.7100,103.0000,0.0000,2162569155.1751,-99589989.9855,8557869641.6120,200054095.5182,3.9573,0.2044
4552,-21.21,0.06,2604.21,83.76,5.0300,0.5900,233.0000,0.0000,13030767749.9945,-720106837.7137,131483268890.8449,4228880586.9289,10.0902,0.6452
4564,-20.02,0.07,1486.91,85.30,4.7500,0.6050,150.0000,0.0000,4354817949.7804,-280765489.0283,31113621874.0677,1784812417.5822,7.1446,0.6166
4570,-20.20,0.07,1054.54,46.32,5.2400,0.4600,167.0000,0.0000,5140081490.6324,-331393300.4789,27351425719.1872,1201317521.7839,5.3212,0.4151
4621,-21.22,0.07,3333.95,216.42,5.3400,0.4250,200.0000,0.0000,13151339959.4769,-847898221.6205,124022804594.9556,8050981019.0820,9.4304,0.8628
4660,-19.75,0.05,839.21,29.82,4.8900,0.5800,181.0000,0.0000,3396018163.0859,-156392415.9572,25568899314.2243,908427098.6856,7.5291,0.4379
5198,-21.62,0.03,4259.22,163.18,4.8900,0.5750,173.0000,0.0000,19009469816.0281,-525251061.8893,118551084279.8478,4541934933.5422,6.2364,0.2946
5308,-20.60,0.22,1411.11,35.67,5.3600,0.5150,201.0000,0.0000,7429678211.4350,-1505457033.9946,53019604515.6150,1340232672.2855,7.1362,1.4572
5813,-22.33,0.19,8743.31,424.75,4.8400,0.5900,210.0000,0.0000,36556954174.1708,-6397337827.2301,358589523527.7986,17420316199.2429,9.8091,1.7815
5831,-21.04,0.17,3843.60,223.85,3.4000,0.6500,148.0000,0.0000,11142175746.3515,-1744594928.8407,78296997234.4245,4559948451.4738,7.0271,1.1739
5838,-21.18,0.49,2397.08,101.19,4.7600,0.5950,232.0000,0.0000,12675643152.4895,-5720602405.5388,119989163287.5029,5065044738.4827,9.4661,4.2908
5845,-19.86,0.21,539.51,32.70,5.0300,0.5900,237.0000,0.0000,3758114470.0910,-726883781.9541,28182646375.8348,1708039174.2930,7.4991,1.5200
5846,-22.37,0.21,9266.26,400.62,5.4800,0.3950,213.0000,0.0000,37928878751.4594,-7336095547.7955,390972837718.2244,16903630957.4750,10.3081,2.0430
5982,-21.97,0.09,4870.25,232.85,4.7900,0.5950,223.0000,0.0000,26240373012.4886,-2175144902.3937,225239002657.2553,10768759066.3774,8.5837,0.8214
7332,-20.54,0.20,1027.43,16.73,2.5300,0.6850,125.0000,0.0000,7030237620.6496,-1295017627.6411,14929803448.5626,243156407.9570,2.1237,0.3927
7457,-19.63,0.21,2134.30,82.16,2.2700,0.6700,75.0000,0.0000,3040675006.3936,-588118687.1584,11165032122.5481,429811762.9131,3.6719,0.7241
1056,-20.57,0.40,2729.65,193.64,1.4700,0.4350,83.0000,0.0000,7227198853.7296,-2662598455.1522,17488241955.3180,1240584669.5992,2.4198,0.9079
2273,-21.17,0.39,4237.16,187.02,1.6300,0.6250,124.0000,0.0000,12559432157.5479,-4511389156.9406,60590019183.6528,2674378560.2046,4.8243,1.7459
2844,-19.42,0.49,2059.39,149.80,1.9600,0.6800,93.0000,0.0000,2505936168.1364,-1130945727.8901,16564828929.9091,1204892938.1306,6.6102,3.0217
3623,-21.07,0.35,2797.73,55.13,4.3900,0.6200,141.0000,0.0000,11454338263.8389,-3692442395.0997,51728194779.0897,1019327629.9551,4.5160,1.4585
4220,-19.82,0.36,1849.26,45.55,2.0400,0.7100,92.0000,0.0000,3622179800.3749,-1201014318.5982,14556477320.9209,358533924.1606,4.0187,1.3362
4235,-19.21,0.09,1317.50,39.27,4.2900,0.6350,165.0000,0.0000,2065237509.9508,-171193863.7406,33358028130.3896,994247797.0737,16.1522,1.4228
4245,-19.60,0.49,2297.15,104.15,3.3100,0.6800,97.0000,0.0000,2957808170.8774,-1334878580.4309,20100903974.8795,911390082.8666,6.7959,3.0825
4274,-21.16,0.36,4275.07,118.57,3.5300,0.6650,153.0000,0.0000,12444286591.4120,-4126180146.9597,93069836124.3158,2581289753.8331,7.4789,2.4885
4293,-20.59,0.09,4183.29,130.63,2.1200,0.6750,107.0000,0.0000,7361562512.1636,-610222467.6595,44541898847.3189,1390867722.6270,6.0506,0.5360
4314,-20.81,0.49,3951.82,188.74,2.7900,0.7200,118.0000,0.0000,9015088704.2978,-4068569737.0569,51173420270.2289,2444103654.6975,5.6764,2.5761
4369,-20.18,0.49,2504.59,128.62,1.0700,0.5050,59.0000,0.0000,5046264430.3834,-2277412837.5306,8108198924.1417,416393555.7485,1.6068,0.7298
4383,-19.18,0.09,1188.47,63.31,1.1500,0.3250,51.0000,0.0000,2008954054.2447,-166528355.6813,2874830026.0038,153143339.2140,1.4310,0.1410
4405,-18.89,0.09,1465.76,38.47,1.2100,0.5050,54.0000,0.0000,1538048407.3704,-127493544.0641,3974952049.6182,104318041.7614,2.5844,0.2247
4425,-19.07,0.09,1275.02,52.09,3.5200,0.6600,78.0000,0.0000,1815390273.8505,-150483260.9712,7214231160.1786,294736031.0570,3.9739,0.3672
4596,-21.05,0.09,4801.17,244.43,4.4900,0.5950,156.0000,0.0000,11245273029.1790,-932155129.5709,108662373049.9808,5531968582.9151,9.6629,0.9400
4698,-20.85,0.09,4058.27,192.34,4.2000,0.5400,141.0000,0.0000,9353410701.8290,-775332865.8246,75034776152.7247,3556150528.5651,8.0222,0.7660
4772,-20.16,0.09,3422.77,187.53,4.2700,0.4250,131.0000,0.0000,4954159724.4639,-410665475.8750,54626431595.4172,2992878715.3659,11.0264,1.0956
5448,-20.81,0.18,4216.45,146.91,2.5000,0.7350,128.0000,0.0000,9015088704.2978,-1494576638.1025,64246544112.0232,2238465894.1714,7.1266,1.2073
5475,-19.73,0.49,1379.22,33.68,2.4900,0.7500,101.0000,0.0000,3334033846.0681,-1504671740.1648,13084538478.5946,319473869.4349,3.9245,1.7738
5636,-19.38,0.49,3200.49,124.44,1.8100,0.6600,40.0000,0.0000,2415294010.1989,-1090038316.6840,4762322989.9106,185166774.1818,1.9717,0.8932
5689,-21.02,0.49,2223.33,61.61,2.9100,0.6900,166.0000,0.0000,10938808119.7478,-4936757156.2841,56977526387.3424,1578949662.3571,5.2088,2.3552
5953,-20.61,0.49,2061.10,115.58,1.4400,0.4250,100.0000,0.0000,7498424177.5119,-3384088907.4887,19168230353.6726,1074854038.5237,2.5563,1.1625
6501,-21.56,0.49,4703.29,324.84,4.9100,0.5900,190.0000,0.0000,17987466757.7872,-8117863872.1725,157903392310.0902,10906006375.6352,8.7785,4.0079
7742,-20.35,0.49,1547.22,39.99,1.5300,0.6050,71.0000,0.0000,5901603178.2587,-2663432926.5928,7253551826.6101,187457190.0631,1.2291,0.5556
